Date,SP500,AAPL,BA,BAC,C,F,GE,JPM,MSFT,WMT,XOM
20070103,1416.60,11.97,89.17,53.33,552.50,7.42,36.49,48.07,29.86,47.55,74.11
20070104,1418.34,12.23,89.53,53.67,550.60,7.61,36.28,48.19,29.81,47.78,72.72
20070105,1409.71,12.14,89.15,53.24,547.70,7.53,36.10,47.79,29.64,47.39,73.24
20070108,1412.84,12.20,88.94,53.45,550.50,7.64,36.09,47.95,29.93,47.00,72.65
20070109,1412.11,13.22,88.03,53.50,545.70,7.70,36.09,47.75,29.96,47.39,72.09
20070110,1414.85,13.85,89.27,53.58,541.30,7.64,36.10,48.10,29.66,47.28,70.99
20070111,1423.82,13.68,88.84,53.26,541.70,7.68,36.45,48.31,30.70,47.60,70.98
20070112,1430.73,13.51,88.13,53.38,543.80,7.80,36.42,47.99,31.21,47.98,72.66
20070116,1431.90,13.87,88.00,53.44,547.70,7.85,36.63,48.39,31.16,48.31,71.63
20070117,1430.62,13.56,88.83,53.32,543.90,7.95,36.50,48.43,31.10,48.20,72.46
20070118,1426.37,12.72,88.00,53.29,543.90,8.08,36.52,48.15,31.00,48.39,71.96
20070119,1430.50,12.64,88.63,53.59,545.00,8.20,35.51,48.76,31.11,48.31,73.53
20070122,1422.95,12.39,85.60,53.65,546.80,8.31,35.32,49.66,30.72,47.96,72.90
20070123,1427.99,12.24,87.36,53.32,544.90,8.20,35.13,49.83,30.74,47.81,74.49
20070124,1440.13,12.38,87.60,53.20,548.30,8.10,35.22,50.36,31.09,48.61,74.90
20070125,1423.90,12.32,86.16,52.40,539.30,8.12,34.93,50.21,30.45,48.15,73.52
20070126,1422.18,12.19,85.43,52.04,546.70,8.32,34.67,49.70,30.60,47.67,73.61
20070129,1420.62,12.27,85.50,51.46,540.60,8.27,34.78,49.47,30.53,47.63,73.20
20070130,1428.82,12.22,86.00,52.12,542.70,8.10,34.63,50.18,30.48,47.28,74.39
20070131,1438.24,12.24,89.56,52.58,551.30,8.03,34.65,50.93,30.86,47.69,74.10
20070201,1445.94,12.10,91.05,52.84,547.30,8.19,34.82,51.21,30.56,47.78,75.08
20070202,1448.39,12.10,90.05,52.74,546.60,8.13,34.86,50.93,30.19,48.08,75.54
20070205,1446.99,11.99,90.72,52.88,547.50,8.23,34.96,50.96,29.61,48.52,75.67
